iter	RMSE
367	106.7697677
368	106.4610201
369	106.2335647
370	105.7859578
371	105.449154
372	105.1938649
373	104.9098168
374	104.5230496
375	104.220912
376	104.0208673
377	103.7992258
378	103.5984168
379	103.4176733
380	103.0095026
381	102.7644344
382	102.4474088
383	102.1121233
384	101.9456211
385	101.6073316
386	101.2764581
387	101.0061669
388	100.8194098
389	100.7210424
390	100.3619391
391	100.2475896
392	99.93054915
393	99.80667539
394	99.58021122
395	99.44415849
396	99.27904394
397	99.05122944
398	98.89827093
399	98.73328704
400	98.36883183
401	97.96439637
402	97.66496615
403	97.56896177
404	97.35371524
405	96.98851766
406	96.82001712
407	96.47018459
408	96.31014278
409	95.92896268
410	95.8022649
411	95.68555116
412	95.37122885
413	95.16251779
414	94.90888079
415	94.71320161
416	94.57445404
417	94.18711411
418	94.09853333
419	93.99888903
420	93.66804227
421	93.48552297
422	93.24073982
423	93.02710766
424	92.65888309
425	92.553313
426	92.27934084
427	92.21135623
428	92.05283443
429	91.66505939
430	91.53035475
431	91.37245202
432	91.23450722
433	91.12164615
434	90.88126376
435	90.64325956
436	90.43168026
437	90.29827789
438	90.01485373
439	89.86798952
440	89.71412539
441	89.62316612
442	89.30666379
443	89.02940835
444	88.79839625
445	88.67155168
446	88.35144083
447	88.26864995
448	88.08208662
449	87.71152135
450	87.45517326
451	87.14736428
452	87.07921175
453	86.93215394
454	86.61211701
455	86.51741866
456	86.31472195
457	86.08552107
458	85.97334663
459	85.79155852
460	85.56206159
461	85.35794019
462	85.08039438
463	84.82394157
464	84.5954317
465	84.42621306
466	84.19071691
467	83.99815505
468	83.80220121
469	83.71409556
470	83.44846586
471	83.15760682
472	82.81899005
473	82.61356101
474	82.33982864
475	82.18543477
476	82.11867381
477	82.01575762
478	81.80547165
479	81.50312977
480	81.31891631
481	81.0575403
482	80.72836112
483	80.59182984
484	80.37077233
485	80.2472014
486	79.83773568
487	79.57596644
488	79.38860207
489	79.23534693
490	78.95241826
491	78.68074665
492	78.49274325
493	78.34699972
494	78.21339574
495	78.12002392
496	77.93568668
497	77.82490106
498	77.55164609
499	77.41347265
